"IP","SoftwareVersion","UUID","Uptime","batteries__Voltage","batteries__Wear","batteries__current","batteries__id","batteries__microswitch","batteries__present","batteries__rgb","batteries__solenoid","batteries__temp","batteries__uuid","id","date"
"10.0.0.45.","MILI v0.0.0a","756111441902","83754154","0","0","0","0","True","False","0","False","0","3735928559","1676377708737","1676377708737"
"","","","","0","0","0","1","True","False","0","False","0","11259375","",""
"","","","","0","0","0","2","True","False","0","False","0","11189196","",""
"","","","","0","0","0","3","True","False","0","False","0","45067","",""
"","","","","0","0","0","4","True","False","0","False","0","12648430","",""
"","","","","0","0","0","5","True","False","0","False","0","721077","",""
"10.0.0.45.","MILI v0.0.0a","756111441902","83769229","0","0","0","0","True","False","0","False","0","3735928559","1676377723889","1676377723889"
"","","","","0","0","0","1","True","False","0","False","0","11259375","",""
"","","","","0","0","0","2","True","False","0","False","0","11189196","",""
"","","","","3674.39990234375","0","246.42857360839844","3","True","True","0","False","38.1231689453125","45067","",""
"","","","","0","0","0","4","True","False","0","False","0","12648430","",""
"","","","","0","0","0","5","True","False","0","False","0","721077","",""
"10.0.0.45.","MILI v0.0.0a","756111441902","83784235","0","0","0","0","True","False","0","False","0","3735928559","1676377738842","1676377738842"
"","","","","0","0","0","1","True","False","0","False","0","11259375","",""
"","","","","0","0","0","2","True","False","0","False","0","11189196","",""
"","","","","3664.800048828125","0","207.14285278320312","3","True","True","0","False","42.961875915527344","45067","",""
"","","","","0","0","0","4","True","False","0","False","0","12648430","",""
"","","","","0","0","0","5","True","False","0","False","0","721077","",""
"10.0.0.45.","MILI v0.0.0a","756111441902","83799245","0","0","0","0","True","False","0","False","0","3735928559","1676377753923","1676377753923"
"","","","","0","0","0","1","True","False","0","False","0","11259375","",""
"","","","","0","0","0","2","True","False","0","False","0","11189196","",""
"","","","","3667.199951171875","0","207.14285278320312","3","True","True","0","False","41.64222717285156","45067","",""
"","","","","0","0","0","4","True","False","0","False","0","12648430","",""
"","","","","0","0","0","5","True","False","0","False","0","721077","",""
"10.0.0.45.","MILI v0.0.0a","756111441902","83814290","0","0","0","0","True","False","0","False","0","3735928559","1676377768851","1676377768851"
"","","","","0","0","0","1","True","False","0","False","0","11259375","",""
"","","","","0","0","0","2","True","False","0","False","0","11189196","",""
"","","","","3674.39990234375","0","221.42857360839844","3","True","True","0","False","45.45454406738281","45067","",""
"","","","","0","0","0","4","True","False","0","False","0","12648430","",""
"","","","","0","0","0","5","True","False","0","False","0","721077","",""
"10.0.0.45.","MILI v0.0.0a","756111441902","83829296","0","0","0","0","True","False","0","False","0","3735928559","1676377783897","1676377783897"
"","","","","0","0","0","1","True","False","0","False","0","11259375","",""
"","","","","0","0","0","2","True","False","0","False","0","11189196","",""
"","","","","3673.199951171875","0","214.2857208251953","3","True","True","0","False","43.40176010131836","45067","",""
"","","","","0","0","0","4","True","False","0","False","0","12648430","",""
"","","","","0","0","0","5","True","False","0","False","0","721077","",""
"10.0.0.45.","MILI v0.0.0a","756111441902","83844301","0","0","0","0","True","False","0","False","0","3735928559","1676377798950","1676377798950"
"","","","","0","0","0","1","True","False","0","False","0","11259375","",""
"","","","","0","0","0","2","True","False","0","False","0","11189196","",""
"","","","","3669.60009765625","0","203.57142639160156","3","True","True","0","False","46.627567291259766","45067","",""
"","","","","0","0","0","4","True","False","0","False","0","12648430","",""
"","","","","0","0","0","5","True","False","0","False","0","721077","",""
"10.0.0.45.","MILI v0.0.0a","756111441902","83859372","0","0","0","0","True","False","0","False","0","3735928559","1676377814002","1676377814002"
"","","","","0","0","0","1","True","False","0","False","0","11259375","",""
"","","","","0","0","0","2","True","False","0","False","0","11189196","",""
"","","","","3666","0","189.2857208251953","3","True","True","0","False","44.72140884399414","45067","",""
"","","","","0","0","0","4","True","False","0","False","0","12648430","",""
"","","","","0","0","0","5","True","False","0","False","0","721077","",""
"10.0.0.45.","MILI v0.0.0a","756111441902","83874389","0","0","0","0","True","False","0","False","0","3735928559","1676377829055","1676377829055"
"","","","","0","0","0","1","True","False","0","False","0","11259375","",""
"","","","","0","0","0","2","True","False","0","False","0","11189196","",""
"","","","","3668.39990234375","0","192.85714721679688","3","True","True","0","False","47.94721221923828","45067","",""
"","","","","0","0","0","4","True","False","0","False","0","12648430","",""
"","","","","0","0","0","5","True","False","0","False","0","721077","",""
"10.0.0.45.","MILI v0.0.0a","756111441902","83889427","0","0","0","0","True","False","0","False","0","3735928559","1676377844109","1676377844109"
"","","","","0","0","0","1","True","False","0","False","0","11259375","",""
"","","","","0","0","0","2","True","False","0","False","0","11189196","",""
"","","","","3664.800048828125","0","182.14285278320312","3","True","True","0","False","45.307918548583984","45067","",""
"","","","","0","0","0","4","True","False","0","False","0","12648430","",""
"","","","","0","0","0","5","True","False","0","False","0","721077","",""
"10.0.0.45.","MILI v0.0.0a","756111441902","83904525","0","0","0","0","True","False","0","False","0","3735928559","1676377859164","1676377859164"
"","","","","0","0","0","1","True","False","0","False","0","11259375","",""
"","","","","0","0","0","2","True","False","0","False","0","11189196","",""
"","","","","3668.39990234375","0","189.2857208251953","3","True","True","0","False","48.3870964050293","45067","",""
"","","","","0","0","0","4","True","False","0","False","0","12648430","",""
"","","","","0","0","0","5","True","False","0","False","0","721077","",""
"10.0.0.45.","MILI v0.0.0a","756111441902","83919531","0","0","0","0","True","False","0","False","0","3735928559","1676377874091","1676377874091"
"","","","","0","0","0","1","True","False","0","False","0","11259375","",""
"","","","","0","0","0","2","True","False","0","False","0","11189196","",""
"","","","","3670.800048828125","0","192.85714721679688","3","True","True","0","False","46.18768310546875","45067","",""
"","","","","0","0","0","4","True","False","0","False","0","12648430","",""
"","","","","0","0","0","5","True","False","0","False","0","721077","",""
"10.0.0.45.","MILI v0.0.0a","756111441902","83934537","0","0","0","0","True","False","0","False","0","3735928559","1676377889098","1676377889098"
"","","","","0","0","0","1","True","False","0","False","0","11259375","",""
"","","","","0","0","0","2","True","False","0","False","0","11189196","",""
"","","","","3674.39990234375","0","203.57142639160156","3","True","True","0","False","49.120235443115234","45067","",""
"","","","","0","0","0","4","True","False","0","False","0","12648430","",""
"","","","","0","0","0","5","True","False","0","False","0","721077","",""
"10.0.0.45.","MILI v0.0.0a","756111441902","83949543","0","0","0","0","True","False","0","False","0","3735928559","1676377904218","1676377904218"
"","","","","0","0","0","1","True","False","0","False","0","11259375","",""
"","","","","0","0","0","2","True","False","0","False","0","11189196","",""
"","","","","3664.800048828125","0","171.42857360839844","3","True","True","0","False","46.774192810058594","45067","",""
"","","","","0","0","0","4","True","False","0","False","0","12648430","",""
"","","","","0","0","0","5","True","False","0","False","0","721077","",""
"10.0.0.45.","MILI v0.0.0a","756111441902","83964591","0","0","0","0","True","False","0","False","0","3735928559","1676377919272","1676377919272"
"","","","","0","0","0","1","True","False","0","False","0","11259375","",""
"","","","","0","0","0","2","True","False","0","False","0","11189196","",""
"","","","","3660","0","157.14285278320312","3","True","True","0","False","49.413490295410156","45067","",""
"","","","","3565.199951171875","0","0","4","True","True","0","False","33.72433853149414","12648430","",""
"","","","","0","0","0","5","True","False","0","False","0","721077","",""
"10.0.0.45.","MILI v0.0.0a","756111441902","83979698","0","0","0","0","True","False","0","False","0","3735928559","1676377934323","1676377934323"
"","","","","0","0","0","1","True","False","0","False","0","11259375","",""
"","","","","0","0","0","2","True","False","0","False","0","11189196","",""
"","","","","3664.800048828125","0","171.42857360839844","3","True","True","0","False","47.21407699584961","45067","",""
"","","","","3567.60009765625","0","3.5714285373687744","4","True","True","0","False","32.844573974609375","12648430","",""
"","","","","0","0","0","5","True","False","0","False","0","721077","",""
"10.0.0.45.","MILI v0.0.0a","756111441902","83994772","3634.800048828125","0","3.5714285373687744","0","True","True","0","False","31.96480941772461","3735928559","1676377949379","1676377949379"
"","","","","0","0","0","1","True","False","0","False","0","11259375","",""
"","","","","0","0","0","2","True","False","0","False","0","11189196","",""
"","","","","3663.60009765625","0","164.2857208251953","3","True","True","0","False","49.853370666503906","45067","",""
"","","","","3570","0","3.5714285373687744","4","True","True","0","False","32.844573974609375","12648430","",""
"","","","","0","0","0","5","True","False","0","False","0","721077","",""
"10.0.0.45.","MILI v0.0.0a","756111441902","84009839","3634.800048828125","0","0","0","True","True","0","False","32.55131912231445","3735928559","1676377964432","1676377964432"
"","","","","0","0","0","1","True","False","0","False","0","11259375","",""
"","","","","0","0","0","2","True","False","0","False","0","11189196","",""
